Sub Category,Name,Address,Telephone,Email,Website,Fax
Wooden Flooring,Elcardo Industries (Pvt) Ltd,42 Narahenpita Rd Nawala,0112805556,,,
Wooden Flooring,A Brand Wooden Flooring (Pvt) Ltd,562/16A  Welikada Terrace Nawala Rd Rajagiriya,0773333333,flooring@abrand.lk,http://www.abrand.lk,0112864333
Wooden Flooring,Lee Craft,No 12 A   St Marys Road Mahabage,"0713632010, 0776622217",lahirusilva@gmail.com,,
Wooden Flooring,Miller Holz (Pvt) Ltd,No 415 Galle Rd  Colombo 04,"0777771775, 0117470066",,,0117470067
Wooden Flooring,Sealcore Stainless Steel Industries (Pvt) Ltd,175 Sri Sumanatissa Mw Colombo 12,0112325561,,https://www.mascons.com/,
Wooden Flooring,Classique Interiors,30/7A   Jaya Mawatha Katupelella Wellampitiya,0115744699,,,
Wooden Flooring,Furnicraft Manufacturing (Pvt) Ltd,73/B   Negombo Rd Wattala,"0112941604, 0770033857, 0777323343",info@furnicraft.lk,http://www.furnicraft.lk,
Wooden Flooring,General Woodcraft (Pvt) Ltd,141   Koralawella Moratuwa,0114379180,,,0112733544
Wooden Flooring,Idama Trade Centre,No 295 Galle Road Idama  Moratuwa,0112647561,,,
Wooden Flooring,Shani Imports & Export (Pvt) Ltd,110/A/1 Siddamulla   Piliyandala,"0117222116, 0714901428",,,
Wooden Flooring,Classic Flooring,No 469 3rd Kurana Colombo Rd   Negombo,0777517417,,,
Wooden Flooring,Fast Floors,No 189A Rajagiriya Rd Rajagiriya,0773095003,,,
Wooden Flooring,Induru Timber Flooring,100/8 Ihalagama   kIridiwela,0716591343,,,
Wooden Flooring,Jaydeck Interiors,189   Dr N M Perera Mw Colombo 08,"0112684641, 0115339258",jaydeck@sltnet.lk,http://www.jaydeckinteriors.com,0112673506
Wooden Flooring,Mercantile Fortunes (Pvt) Ltd,236   Galle Rd Colombo 03,"0112343720, 0112423440",flooring@mi.com.lk,http://www.mflwoodfloors.com,0112434466
Wooden Flooring,Active Holdings (Pvt),No 4 Kandawatta Rd   Nugegoda,0772343349,,,
Wooden Flooring,Anuli Travels & Tours,Panadura,0775041129,,,
Wooden Flooring,ARC Holdings (Pvt) Ltd,163/2B   Nawala Rd Narahenpita Colombo 05,0115755455,,,
Wooden Flooring,Ceyacon (Pvt) Ltd,No 10 (1st Floor) School Lane Colombo 03,0117222253,,,
Wooden Flooring,Ceylon Floring,No 163 Buthpitiya   Waliweriya,"0773257331, 0775147012",,,
Wooden Flooring,Con Chemi Sovereignty,No 157/15/1 Devala Rd Makola North  Makola,"0770333456, 0770333456",conchemiso@gmail.com,,
Wooden Flooring,Dedunu Wood Works,Pannipitiya,0717010951,,,
Wooden Flooring,Delmege Forsyth & Co (Pvt) Ltd,101   Vinayalankara Mw Colombo 10,0117729290,id@delmege.com,http://www.delmegeinterior.com,
Wooden Flooring,Home & Life,201/A Galle Road   Beruwela,"0342276937, 0777805755",homeand.life@yahoo.com,,
Wooden Flooring,Klnd Flooring,No 11/C/6 Alubogaha watta   Piliyandala,0710950191,,,
Wooden Flooring,Laminate Wood Flooring,Colombo 3,"0777734726, 0722365265",,,
Wooden Flooring,Living Center (Pvt) Ltd,10   Narahenpita Rd Nawala,"0112807145, 0114321155",sales@livingcenter.lk,http://www.livingcenter.lk,
Wooden Flooring,Luckmal Homes & Construction,No 793/A Colombo Road Kurana  Negombo,0773793579,indunilluckshan@yahoo.com,,
Wooden Flooring,Mr.B.K.Perera,183/C Highlevel Rd Watereka  Padukka,0777632875,,,
Wooden Flooring,O-Win Interior Solutions,57/C Dewala road Mahara Nugegoda  Kadawatha,0777924022,,,
Wooden Flooring,Pramid Traders,Makola Road,0711490277,,,
Wooden Flooring,Premasiri,Kandy,0775243635,,,
Wooden Flooring,Sakyas (Pvt)Ltd,"No.176/2B,  Pannipitiya Road  Thalawathugoda",0777631932,officesakyas@gmail.com,https:// www.sakyas.lk,
Wooden Flooring,Samarika Wood,,0775377589,,,
Wooden Flooring,Sampath Dawa Kaarmikayo,Dimbulgamuwa Watta Puwakdeniya Hiriwadunna  Kegalla.,"0711606057, 0702022745",,,
Wooden Flooring,Tissa Saw Mill & Timber Stores,349/1   Kandy Rd Kirillawela Kadawatha,"0777711588, 0112970421, 0112969659",tissasml@sltnet.lk,http://www.tissatimber.com,0112968364
Wooden Flooring,Wood & Glossy,No 157/10/1 Ekamuthu Mw Godaparagahawatta Honnanthara Piliyandala,0776949986,info@startanddrive.co.uk,http://www.woodandglossy.com,
Wooden Flooring,Wood Flooring,Digana    Kandy,0775125004,,,
Wooden Flooring,Wood flooring,Piliyandala,0777619977,,,
Wooden Flooring,Wood Flooring,"Madawala Bazaar,    Kandy",0777413136,,,
Wooden Flooring,Wooden Furniture Polishing,"Moratuwa, Colombo","0717048629, 0778350768",,,
Wooden Flooring,Woodenex Flooring Co (Pvt) Ltd,501 1/1   Thimbirigasyaya Rd Colombo 05,"0112554346, 0112596263","info@woodenexflooring.com,woodenexflooring@gmail.com",,0114010810
